,,test_accuracy,test_accuracy,Precision_class2,Precision_class2,Recall_class2,Recall_class2,F1_class2,F1_class2
,,mean,std,mean,std,mean,std,mean,std
experiment,data,,,,,,,,
all_channels_alphamu,mi_real,0.5070192307692308,0.08937407916382749,0.510272159588777,0.11111179624782082,0.48826923076923073,0.15245860683180532,0.48814464652804496,0.11911006609229392
bio_channelsPT_alphamu,mi_real,0.5097115384615388,0.09268481750789881,0.5145198560771019,0.11377070113951532,0.48903846153846214,0.1702741710170621,0.48685901443447976,0.12898083002127486
bio_channelsOConly_alphamu,mi_real,0.5106249999999997,0.0914655022515017,0.5078061023859002,0.11304647975085452,0.5022115384615384,0.1851414952867455,0.4912304964433164,0.13835376900245425
all,mi_real,0.5108653846153843,0.08913641098259202,0.5136029543891918,0.10951918246252854,0.49375,0.1528923929272771,0.4929717448730597,0.1196652015452301
bio_channelsPT,mi_real,0.5126923076923078,0.09745045447567678,0.5153770242201854,0.12049923730311869,0.4918269230769227,0.17193651886220282,0.4898914487086996,0.1347931128948815
bio_channelsOonly_alphamu,mi_real,0.5133173076923079,0.09420494450317031,0.5134473514685447,0.12952267068676243,0.5302884615384614,0.23010618613884062,0.4969052461079798,0.15800028703786534
bio_channelsOPT_alphamu,mi_real,0.5165384615384614,0.09373711066970059,0.517692275376626,0.11803776804043574,0.5073076923076919,0.17559275208350594,0.4988611508007181,0.13307477034249784
bio_channelsOPT,mi_real,0.5222115384615381,0.08917526993702624,0.5215548129667724,0.10850310410842709,0.5237500000000003,0.17028360962561595,0.5103709015401816,0.129861184928564
bio_channelsConly_alphamu,mi_real,0.5264423076923076,0.09650859046323249,0.5240069890313963,0.12728548380899146,0.5200961538461537,0.20269140525815468,0.5048795341323634,0.1529484623367401
all,mi_cv,0.5707259615384589,0.18857367808686432,0.5739488273379547,0.21566363270955624,0.5709260269801841,0.2225445924692565,0.5589874621764677,0.20517895825547208
all_channels_alphamu,mi_cv,0.5712483974358957,0.1896266468845804,0.5752217497588359,0.2165568399935514,0.5735553304004951,0.22116769435166528,0.5610098498438537,0.20466731301423535
bio_channelsPT,mi_cv,0.5752243589743601,0.18970021163427772,0.5796484900217937,0.21649371206348714,0.5784750803338197,0.22053251227265339,0.5655188297200641,0.2042248787231362
bio_channelsPT_alphamu,mi_cv,0.5757163461538471,0.18943225570732536,0.5796724727775805,0.21782309812593156,0.5758641985057432,0.22231770345898866,0.5640670078237094,0.20608753990188633
bio_channelsOConly_alphamu,mi_cv,0.5818237179487163,0.19121958336051373,0.5847332688521889,0.21936577240459745,0.579313977029759,0.2267910360854369,0.5685746264651392,0.20950241649563614
bio_channelsOPT,mi_cv,0.5822179487179476,0.18696355598440795,0.5867897801298706,0.21420915768363805,0.5870737469701007,0.21787122960789515,0.573346990906842,0.2011705713744694
bio_channelsOPT_alphamu,mi_cv,0.5844022435897431,0.18948847616832437,0.5884475910119321,0.21597904912478255,0.5875351811179029,0.22058450063708263,0.5746854129302441,0.20414532353945994
bio_channelsConly_alphamu,mi_cv,0.5892516025641029,0.18738094037219502,0.5943612562741911,0.21622810233546763,0.5875818794704564,0.22064008779193528,0.5771835367603813,0.20375289085724466
bio_channelsOonly_alphamu,mi_cv,0.599017628205126,0.18854844562703918,0.6056697927413283,0.21585861818037164,0.6090212968749461,0.22647374442354837,0.5906497340686745,0.2037895323549679
