0,0,0,0,0,0,0,0,0,0
-1.6492832,-1.9892164,-1.9933681,-1.9755166,-1.7339036,-1.9993423,-1.9750667,-1.3020262,-1.9999846,-1.9760748
-3.6860521,-2.2497358,-3.9921222,-3.9575498,-3.8008242,-2.2387297,-3.9575913,-3.4075692,-2.1868596,-3.9792762
-5.7286911,-4.2369547,-5.9715729,-5.8938751,-5.8739934,-4.2604709,-5.9640636,-5.1552839,-4.1848936,-5.9741645
-7.6604638,-6.2600646,-7.9074402,-7.7417474,-7.7566352,-6.2158394,-7.9579682,-6.7931557,-6.2223344,-7.9225278
-9.2792416,-8.2864285,-9.7228565,-9.3953152,-9.5484352,-8.2603855,-9.9657011,-8.2657299,-7.8892627,-9.7088547
-10.666795,-10.321726,-11.264835,-10.857369,-10.888901,-9.7978954,-11.976678,-9.5146866,-8.2247295,-11.301214
-11.655152,-11.943615,-12.442517,-11.82921,-11.652676,-10.207504,-13.932472,-11.731636,-9.5997362,-12.5431
-12.925061,-12.341438,-12.51162,-12.262804,-12.715652,-11.530892,-15.85969,-13.177916,-9.8938446,-12.801115
-13.745499,-13.789801,-12.896342,-12.64906,-13.117886,-11.903418,-17.472088,-14.182943,-11.071899,-13.36354
-13.811472,-14.144523,-12.896698,-12.64906,-13.117886,-13.096984,-18.746002,-14.577349,-11.312005,-13.369334
-13.811472,-15.254107,-12.896698,,,-13.351471,-18.867949,-14.577349,-12.264242,-13.369334
,-15.503865,,,,-14.091904,-19.404083,,-13.214605,
,-16.293255,,,,-14.938782,-19.404329,,-14.38015,
,-17.322723,,,,-15.296505,-19.404329,,-15.082109,
,-18.160513,,,,-15.296505,,,-15.154097,
,-18.269505,,,,,,,-15.154097,
,-18.269505,,,,,,,,
