,,train_accuracy,train_accuracy,train_accuracy,train_accuracy,train_accuracy,train_accuracy,train_accuracy,train_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class2,Recall_class2,Recall_class2,Recall_class2,Recall_class2,Recall_class2,Recall_class2,Recall_class2,F1_class1,F1_class1,F1_class1,F1_class1,F1_class1,F1_class1,F1_class1,F1_class1,F1_class2,F1_class2,F1_class2,F1_class2,F1_class2,F1_class2,F1_class2,F1_class2,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
experiment,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bio_channelsOPT,mi_cv,52.0,0.6040313390313389,0.1321502287040592,0.5133333333333333,0.531527777777778,0.5511574074074075,0.5808333333333333,0.9805555555555554,52.0,0.5634615384615382,0.14661024470063982,0.4450000000000001,0.48375,0.505,0.54,0.965,52.0,0.5222856270606996,0.17885997312782223,0.2,0.43036122503227764,0.48409821903242956,0.5448519536019536,0.9742424242424242,52.0,0.539694647285763,0.17924866574317194,0.1444444444444444,0.4569304653679654,0.49648409296242113,0.5457612179487179,0.9727272727272728,52.0,0.5695833333333333,0.2652104592406413,0.0699999999999999,0.29791666666666666,0.5999999999999999,0.79,0.97,52.0,0.5573397435897435,0.24759766445574907,0.05,0.365,0.5549999999999999,0.7725,0.97,52.0,0.5105179259366576,0.22042970475998785,0.1149350649350649,0.3510612093874478,0.5172946529568297,0.63215102825856,0.964661654135338,52.0,0.5087031812104976,0.20712199036400303,0.0602870813397129,0.3637909853030234,0.5019509317278196,0.601453686086863,0.9651629072681706,52.0,0.6432734264107408,0.12407868775860625,0.5109402830815439,0.5566045176609842,0.6130039639577193,0.6759975788109416,0.9910035279312388,52.0,0.6570262665999509,0.13677271235689437,0.5069440882495904,0.5450092475385904,0.6171288576490113,0.7168535110492644,0.9842671088651328,52.0,0.6124323361823362,0.2574091550983395,0.0422222222222222,0.3761111111111111,0.641111111111111,0.8169444444444446,0.9844444444444445,52.0,0.5956303418803419,0.24535764004085958,0.1144444444444443,0.41638888888888886,0.5866666666666667,0.8094444444444444,0.9911111111111112,52.0,0.5568545262979747,0.20434652544260734,0.0778561552301758,0.4290933846017225,0.5758237929477088,0.6548065474033054,0.9802463522453746,52.0,0.5531598755315061,0.19356622515117272,0.1570090804460486,0.44012865242588406,0.5462712206775078,0.633267570490438,0.9808457703622736
bio_channelsOPT,mi_real,52.0,0.6027564102564102,0.1355974573412265,0.5,0.52875,0.55,0.5762499999999999,0.995,52.0,0.5192307692307693,0.0695953614029588,0.35,0.475,0.5,0.55,0.75,52.0,0.46304384635142265,0.19806753116242554,0.0,0.46822916666666675,0.5,0.5647321428571428,0.8,52.0,0.5085188491318573,0.24264921387259059,0.0,0.47805555555555546,0.5,0.563179347826087,1.0,52.0,0.5778846153846153,0.34277035437316344,0.0,0.33749999999999997,0.625,0.9,1.0,52.0,0.4605769230769232,0.3251449960811659,0.0,0.1875,0.42500000000000004,0.7124999999999999,1.0,52.0,0.48338371254852,0.22967695690036233,0.0,0.39375000000000004,0.5705128205128205,0.6456043956043958,0.8,52.0,0.4248827843995422,0.22109832187439363,0.0,0.27197802197802223,0.48684210526315796,0.6177884615384612,0.690909090909091,52.0,0.6375118513703708,0.15002792643490523,0.5,0.5350192472198463,0.5600576973511675,0.75,1.0,52.0,0.6411571793261407,0.15541247780980935,0.5,0.5314355099838097,0.5765601217656015,0.7220180893159978,1.0,52.0,0.62775641025641,0.3135619880158838,0.01,0.44,0.73,0.895,1.0,52.0,0.5777564102564102,0.3065776520099199,0.02,0.35,0.59,0.865,1.0,52.0,0.5672016028637523,0.2366101668550693,0.0198019801980198,0.48275641230907196,0.624465811965812,0.6730974021149605,0.994974874371859,52.0,0.5516337176031969,0.22357368126529473,0.0384615384615385,0.43444956182434624,0.5707384403036575,0.6697093598624932,0.995024875621891
bio_channelsOPT_alphamu,mi_cv,52.0,0.5624893162393162,0.05053209988757413,0.5177777777777779,0.5352777777777777,0.5452777777777778,0.5601851851851853,0.7661111111111112,52.0,0.5049198717948717,0.06455694898869012,0.415,0.46625000000000005,0.485,0.51375,0.74,52.0,0.49829190235542153,0.08354227469363178,0.3145479082321186,0.45267608359133116,0.4792253824606766,0.5326916465887053,0.838095238095238,52.0,0.4895549451507716,0.09877085566086227,0.32,0.424184287934288,0.47400879349408753,0.5171082024700446,0.7996031746031745,52.0,0.5350000000000003,0.16211765812598186,0.21,0.4374999999999999,0.51,0.6225,0.94,52.0,0.4748397435897437,0.15096828347720911,0.1399999999999999,0.41,0.46499999999999997,0.5625,0.8900000000000002,52.0,0.481887103500506,0.10903618628416611,0.2183231461192481,0.4261299242982679,0.47240044247580526,0.5257574092684221,0.7924350287393763,52.0,0.44648786023596454,0.11287190834955471,0.1517482517482518,0.4048873514786675,0.44929643930393537,0.5212330119001187,0.754978615587311,52.0,0.5814602079735416,0.05850362021533866,0.5158861887722237,0.5423327743941267,0.5689081567002054,0.5906415684735824,0.8168078107054667,52.0,0.6040358354140435,0.08685817742096687,0.5234078593511418,0.5471960642015258,0.573109729919447,0.6189487069781214,0.9211889105483662,52.0,0.6009472934472934,0.1531935064837891,0.2666666666666666,0.5132407407407408,0.5816666666666668,0.6991666666666667,0.9377777777777778,52.0,0.524031339031339,0.15104599843568828,0.1755555555555556,0.4636111111111111,0.5288888888888889,0.6188888888888886,0.8788888888888889,52.0,0.5473227215289367,0.09460972512891437,0.2964762223850271,0.502310310206616,0.5424164232541651,0.6015531585212105,0.8038353316121516,52.0,0.5082618075434435,0.11052613549687235,0.1892739587835334,0.4668592299991225,0.525397850804288,0.5778967961519446,0.7401726599804868
bio_channelsOPT_alphamu,mi_real,52.0,0.5638461538461539,0.06857305985803717,0.465,0.52375,0.545,0.5774999999999999,0.85,52.0,0.5153846153846154,0.0564804855580118,0.375,0.49375,0.5,0.525,0.675,52.0,0.4819850044251177,0.16746843667912603,0.0,0.4844300822561695,0.5,0.5339285714285713,1.0,52.0,0.4359545114368448,0.21261738095859237,0.0,0.44333333333333297,0.5,0.5465909090909087,0.705882352941177,52.0,0.5673076923076923,0.333414394366891,0.0,0.25,0.6,0.9,1.0,52.0,0.46346153846153865,0.32390318461155687,0.0,0.1375,0.5,0.7,1.0,52.0,0.47983754685189806,0.21958598132524795,0.0,0.32258064516129,0.5720823798627005,0.654702194357367,0.697674418604651,52.0,0.4171707597500768,0.23981287416534486,0.0,0.22347826086956524,0.5,0.6103678929765884,0.682926829268293,52.0,0.5860400870088392,0.11301226679817189,0.469026548672566,0.516077665913294,0.549696582561482,0.6008323474733818,1.0,52.0,0.5899561430893977,0.09393687868307432,0.459770114942529,0.53392211963067,0.555555555555556,0.6367965367965365,0.875,52.0,0.5875641025641025,0.23667252628722837,0.01,0.4575,0.57,0.77,0.99,52.0,0.5401282051282053,0.2402864227136151,0.05,0.4,0.55,0.68,1.0,52.0,0.548347730541388,0.14936913755101164,0.0198019801980198,0.4975917682259355,0.567989417989418,0.642743293636473,0.848484848484849,52.0,0.5220229444008121,0.16597826470698968,0.091743119266055,0.4548308787829743,0.565886699507389,0.6237817234391583,0.851485148514851
bio_channelsOonly_alphamu,mi_cv,52.0,0.5716257122507122,0.02767396124801336,0.5261111111111113,0.5559722222222221,0.5655555555555556,0.58375,0.6733333333333331,52.0,0.4897435897435899,0.05293677592831471,0.3999999999999999,0.4549999999999999,0.4908333333333334,0.51,0.64,52.0,0.4692017180348997,0.07556565967777745,0.2444444444444443,0.43118628103922235,0.47872583556794085,0.5213415526466997,0.6154399195575666,52.0,0.4836158349519417,0.08398397119391093,0.3216666666666667,0.43501393214628514,0.46965754940793647,0.5138787274816687,0.7463492063492063,52.0,0.5083653846153848,0.1855089244324266,0.0799999999999999,0.40499999999999997,0.505,0.6199999999999999,0.8700000000000001,52.0,0.4711217948717949,0.1648603823223165,0.19,0.3575,0.445,0.5474999999999999,0.93,52.0,0.4620416353913347,0.12481456933309279,0.1064409274935591,0.4093511913025434,0.47486971198735894,0.538008656967264,0.7120484581949112,52.0,0.4455673199802834,0.0982940214705896,0.2601731601731601,0.3682070883909118,0.4469973995583094,0.5187584150418313,0.6478014960773583,52.0,0.5923510078213206,0.05971226271261557,0.5346988099327332,0.5530710502370703,0.577050719360954,0.6202922606286719,0.9158421544209217,52.0,0.6045808269266958,0.06841123579030736,0.5218928719940663,0.5613238029950478,0.5831618157313336,0.6232168751132141,0.8389346181156526,52.0,0.5941987179487179,0.1758605914731306,0.1177777777777777,0.48777777777777764,0.5925000000000001,0.7241666666666667,0.9288888888888888,52.0,0.5490527065527065,0.16077696654903,0.2177777777777777,0.44166666666666654,0.5172222222222222,0.6605555555555556,0.958888888888889,52.0,0.5528579111494012,0.10275607526039233,0.1734071892127936,0.5201935392632826,0.5662105171214563,0.6170061455822731,0.7302867913850897,52.0,0.5347740887320106,0.08255784852239774,0.3165018986773997,0.4914651904090625,0.5357714925531919,0.5919610947347727,0.673861507970145
bio_channelsOonly_alphamu,mi_real,52.0,0.5678525641025641,0.03441478778910011,0.51,0.5437500000000001,0.56,0.595,0.665,52.0,0.4947115384615384,0.0648029703199831,0.3,0.475,0.5,0.525,0.675,52.0,0.4364147649774479,0.17862975783957014,0.0,0.428571428571429,0.482758620689655,0.5195099818511797,0.75,52.0,0.4969947566510537,0.17440951103968277,0.0,0.45979020979021024,0.5,0.5193236714975843,1.0,52.0,0.48557692307692324,0.3273986205100985,0.0,0.1875,0.525,0.7,1.0,52.0,0.5038461538461539,0.3149612727276965,0.0,0.25,0.475,0.8,1.0,52.0,0.42416292824744367,0.22873590723052115,0.0,0.25986842105263147,0.4883468834688345,0.6130298273155418,0.714285714285714,52.0,0.4454703172530751,0.19662633051373515,0.0,0.33064516129032223,0.47467166979362097,0.6092032967032965,0.678571428571428,52.0,0.58956756146706,0.08488621398507354,0.513333333333333,0.5400207900207903,0.5680415263748595,0.6,1.0,52.0,0.6108397593953432,0.08985971966278057,0.505263157894737,0.5510283060592656,0.593577981651376,0.631578947368421,0.888888888888889,52.0,0.6113782051282052,0.25725057110692995,0.04,0.4825,0.6699999999999999,0.8025,0.991666666666667,52.0,0.5243269230769231,0.24657418766663788,0.0666666666666667,0.3275,0.53,0.655,1.0,52.0,0.5529863447713453,0.15462591644490004,0.0769230769230769,0.5159607120933091,0.615009380863039,0.6510568071705427,0.704980842911877,52.0,0.5164271559220196,0.1416917427043626,0.124031007751938,0.44167523124357677,0.557195792493426,0.620041144681896,0.687022900763359
bio_channelsPT,mi_cv,52.0,0.6055359686609685,0.13645113780223264,0.514351851851852,0.5366666666666666,0.5486111111111112,0.5684722222222222,0.9866666666666664,52.0,0.5620673076923077,0.15055629329443995,0.445,0.48375,0.5025,0.53,0.975,52.0,0.5186141980043056,0.18407026140790217,0.2523809523809524,0.41080447330447317,0.4877110378871215,0.5576511605439622,0.99,52.0,0.545065110848705,0.18202805215940687,0.2715950226244343,0.43562332608481996,0.4869043956989004,0.545753205128205,0.990909090909091,52.0,0.5712179487179486,0.24687791594143801,0.06,0.3775,0.5800000000000001,0.765,0.99,52.0,0.5529166666666666,0.23156022734677234,0.1,0.3675,0.545,0.7175,0.99,52.0,0.5041032670711365,0.21742824627696752,0.0935664335664336,0.3611472896541545,0.47557913787496364,0.6038181256426692,0.9751196172248804,52.0,0.49952301164196705,0.20400850746293703,0.1458508158508158,0.35024949966699587,0.4734856429904054,0.5739020931561234,0.9746031746031748,52.0,0.6595143643396154,0.127175026272912,0.5190943487470971,0.5703116458693612,0.6194930900863863,0.703665064249461,0.9977124183006536,52.0,0.6587524484893401,0.13508699136332403,0.5014342389958926,0.5691606142475473,0.6036196061204486,0.7014512067705924,0.9822556936774964,52.0,0.6215918803418803,0.23195443698041351,0.0733333333333333,0.4511111111111111,0.6322222222222222,0.8016666666666665,0.9833333333333336,52.0,0.589480056980057,0.22501037162099946,0.15,0.42361111111111127,0.585,0.7477777777777777,0.9977777777777778,52.0,0.5592026183591806,0.19671561685598518,0.122937808931096,0.4380702881690674,0.5322774627171332,0.6444311525577079,0.9864001259261984,52.0,0.5458382553894832,0.18946667742190884,0.1989970242854379,0.4172424517505178,0.5298707419102203,0.62451819062714,0.9869190655164636
bio_channelsPT,mi_real,52.0,0.5924519230769231,0.14027065083767645,0.49,0.52,0.54,0.57,0.995,52.0,0.5153846153846153,0.05691278289375697,0.4,0.475,0.5,0.53125,0.75,52.0,0.49413284492292486,0.2005995802714838,0.0,0.4708333333333332,0.5,0.555555555555556,1.0,52.0,0.5211084761199012,0.20253320536292402,0.0,0.48290322580645123,0.5,0.555555555555556,1.0,52.0,0.5115384615384615,0.3518320935064283,0.0,0.1875,0.5,0.85,1.0,52.0,0.5192307692307693,0.3394276968481387,0.0,0.1875,0.6,0.75,1.0,52.0,0.4414046588175964,0.2347698683648905,0.0,0.2604679802955663,0.511904761904762,0.636324041811847,0.782608695652174,52.0,0.4497437577807719,0.22450436755085326,0.0,0.265217391304348,0.547237076648841,0.628482972136223,0.705882352941176,52.0,0.6564501885884149,0.18033463710574454,0.485294117647059,0.5211290322580645,0.5608879492600425,0.733333333333333,1.0,52.0,0.6570946291893752,0.1735347458809341,0.492424242424242,0.5220454545454548,0.576219512195122,0.779761904761905,1.0,52.0,0.6124679487179487,0.35368823746760764,0.01,0.325,0.69,0.9524999999999999,1.0,52.0,0.5724358974358975,0.34933978526735043,0.01,0.25,0.645,0.92,1.0,52.0,0.5405650233088628,0.26180927352573996,0.0198019801980198,0.39821428571428574,0.6131958350020025,0.6734869205414125,0.994974874371859,52.0,0.5258665450368537,0.25333652888385566,0.0198019801980198,0.36300834202294047,0.583416698730281,0.6693583287434101,0.995024875621891
bio_channelsPT_alphamu_cv,mi_cv,52.0,0.550252849002849,0.03071905112906819,0.5100000000000001,0.5309722222222222,0.5411111111111111,0.5578009259259259,0.6622222222222223,52.0,0.5053846153846153,0.04960340027241634,0.425,0.475,0.5,0.5293749999999999,0.6399999999999999,52.0,0.47911701931275047,0.084520371912585,0.312281003310415,0.42182536213786215,0.48299048431788366,0.5243762816131238,0.6931529581529582,52.0,0.489869208318192,0.10663762003934332,0.2044444444444443,0.4446547896547897,0.4948087548416495,0.5233661477411478,0.779155844155844,52.0,0.523878205128205,0.16411767164896596,0.14,0.42999999999999994,0.5091666666666667,0.6325000000000001,0.86,52.0,0.4868910256410255,0.14871747602038227,0.12,0.395,0.49,0.5950000000000001,0.85,52.0,0.4692736959297417,0.11188209685351301,0.190959595959596,0.396495473695551,0.4569770106884446,0.5532731664713594,0.6944997594997594,52.0,0.4512371789449408,0.10461654678440759,0.1474898785425101,0.3836745543913138,0.4620033450020662,0.5344205667913097,0.6316852387378701,52.0,0.5769372492562955,0.046208815766401054,0.511390426338966,0.539860846578065,0.5697264123175484,0.6056434902007282,0.7006735144599086,52.0,0.5843474673651272,0.06310696925919694,0.5169314987672384,0.5416050418983825,0.5702796417311029,0.5969570303463265,0.8355521787968229,52.0,0.562628205128205,0.15293371825666136,0.1633333333333333,0.4691666666666665,0.5355555555555555,0.6819444444444446,0.8633333333333335,52.0,0.5378774928774929,0.14247874083075474,0.1955555555555556,0.4527777777777777,0.5672222222222221,0.6280555555555557,0.8944444444444445,52.0,0.5176952855175119,0.09417065365368671,0.2342769745959702,0.47762665892526723,0.5173602868002525,0.5815171582416505,0.712926977551233,52.0,0.509219987388258,0.08660181333243104,0.2540665418828096,0.464649504284878,0.5303218123206355,0.5641796517411968,0.6609573612345827
bio_channelsPT_alphamu_cv,mi_real,52.0,0.5474519230769229,0.04750972078652968,0.455,0.52,0.535,0.57,0.74,52.0,0.5072115384615385,0.06150413234593219,0.375,0.46875,0.5,0.55,0.625,52.0,0.5030054312274624,0.19008007584640685,0.0,0.44333333333333297,0.5,0.5744047619047614,1.0,52.0,0.48441081881038994,0.1259462893346627,0.0,0.46073717948717974,0.5,0.5402097902097898,0.666666666666667,52.0,0.398076923076923,0.27969898708894575,0.0,0.15,0.4,0.6,1.0,52.0,0.6163461538461538,0.2908272773985182,0.0,0.4875,0.575,0.9,1.0,52.0,0.39188791477873075,0.2017246085496385,0.0,0.22664835164835176,0.440972222222222,0.5354591836734692,0.666666666666667,52.0,0.5168466132016186,0.1784009081461341,0.0,0.484901277584204,0.5650701499758105,0.654702194357367,0.716981132075472,52.0,0.5969085188171893,0.13175805079221947,0.416666666666667,0.5215271308802982,0.555121527777778,0.6044884169884173,1.0,52.0,0.5682659067207338,0.09275984124941249,0.451612903225806,0.5162087912087915,0.540053592835484,0.592162698412698,1.0,52.0,0.4866666666666667,0.2805907245154335,0.01,0.2375,0.515,0.6725000000000001,1.0,52.0,0.6082371794871794,0.27422606751897494,0.04,0.4275,0.5700000000000001,0.8625,1.0,52.0,0.47034763615751807,0.1872607959992793,0.0196078431372549,0.3392607547755865,0.5303061224489796,0.6238512949039268,0.730038022813688,52.0,0.5394715225803566,0.1516952061196161,0.0754716981132075,0.4891530400032625,0.5704365079365075,0.6541306602143102,0.786885245901639
