0,0,0,0,0,0,0,0,0,0
-1.9845793,-1.9828413,-1.9888072,-1.9999962,-1.9969232,-1.9825974,-1.9999273,-1.9992108,-1.9992113,-1.9766923
-3.9792743,-3.9828467,-2.4524841,-2.2605853,-3.9915123,-3.9838765,-2.452919,-3.9995027,-3.9998863,-3.9749227
-5.9840665,-5.9753084,-4.4256196,-4.2620173,-5.9917817,-5.9846849,-4.4631557,-5.9998465,-5.9998226,-5.9777317
-7.9941378,-7.9774399,-6.4427781,-6.2605381,-7.9927354,-7.9826698,-6.4589968,-7.9999719,-7.99963,-7.9775381
-9.9928598,-9.9858799,-8.4440536,-8.2510843,-9.9960632,-9.9748831,-8.4615288,-9.9999275,-9.9998474,-9.9783516
-11.990476,-11.989111,-10.440467,-10.258256,-11.996378,-11.975939,-10.46373,-11.999902,-10.150793,-11.977636
-13.992678,-13.984398,-12.442331,-12.272614,-13.995636,-13.977671,-12.472517,-13.999973,-12.150662,-13.97874
-15.993073,-15.983994,-14.44033,-14.274921,-15.997305,-15.984369,-14.501686,-14.19095,-14.142534,-15.978558
-17.991997,-17.984781,-16.495562,-16.271309,-17.997833,-17.981865,-16.520679,-16.191578,-16.133093,-17.979065
-19.992346,-19.985828,-18.542576,-18.275503,-19.998249,-19.988613,-18.531334,-18.196709,-18.136662,-19.983103
-21.991879,-21.984755,-20.547958,-20.282347,-21.998096,-21.982817,-20.541557,-20.197124,-20.141674,-21.994175
-23.991524,-23.985785,-22.542236,-22.270824,-23.998539,-23.966833,-22.526691,-22.207075,-22.136578,-23.999743
-25.992218,-25.980289,-24.538139,-24.266071,-25.998043,-25.937937,-24.527601,-24.217802,-24.125866,-25.99947
-27.991138,-27.980391,-26.545523,-26.256374,-27.998234,-27.967068,-26.51852,-26.230581,-26.142529,-26.504711
-29.991096,-29.980968,-28.567795,-28.264095,-29.9981,-29.987532,-28.527519,-28.23332,-28.169159,-28.509531
-31.991264,-31.981461,-30.564682,-30.257917,-31.998104,-31.996637,-30.528786,-30.231152,-30.210007,-30.521152
-33.991112,-33.981422,-32.572891,-32.261841,-33.997581,-33.999962,-32.507744,-32.238937,-32.257946,-32.536568
-35.989979,-35.979546,-34.582066,-34.261963,-34.159622,-35.997704,-34.529423,-34.224277,-34.272583,-34.532955
-37.992577,-37.982689,-36.573921,-36.253403,-36.144642,-36.154488,-36.484413,-36.221107,-36.280281,-36.575359
-39.990028,-39.955574,-38.570145,-38.232285,-38.141922,-38.18668,-38.529739,-38.231277,-38.289337,-38.578247
-41.988678,-41.985126,-40.545635,-40.26445,-40.13868,-40.216606,-40.559532,-40.244652,-40.297913,-40.578102
-43.992538,-43.994408,-42.573502,-42.333946,-42.140579,-42.246838,-42.515724,-42.259434,-42.297737,-42.590843
-45.995724,-45.994564,-44.5644,-44.398956,-44.136143,-44.270367,-44.57576,-44.256752,-44.297974,-44.612648
-47.995548,-47.994827,-46.581245,-46.457695,-46.143005,-46.274559,-46.632023,-46.245152,-46.299263,-46.597275
-49.997124,-49.994656,-48.591286,-48.4935,-48.13855,-48.274895,-48.668663,-48.250431,-48.296036,-48.64632
-51.998276,-51.992126,-50.540718,-50.410439,-50.142372,-50.2752,-50.704334,-50.239239,-50.296387,-50.68412
-53.995468,-53.997749,-52.63327,-52.237549,-52.147282,-52.274483,-52.729034,-52.262192,-52.296867,-52.799301
